MitoPathway	MitoPathways Hierarchy	Genes			
Calcium cycle	Signaling > Calcium homeostasis > Calcium cycle	"LETM1, MCU, MCUB, MICU1, MICU2, MICU3, SLC25A3, SLC8B1, SMDT1"			
Mitochondrial permeability transition pore	Signaling > Calcium homeostasis > Mitochondrial permeability transition pore	"PPIF, SLC25A31, SLC25A4, SLC25A5, SLC25A6, VDAC1, VDAC3"			
EF hand proteins	Signaling > Calcium homeostasis > EF hand proteins	"EFHD1, MICU1, MICU2, MICU3, RHOT1, RHOT2, SLC25A12, SLC25A13, SLC25A23, SLC25A24, SLC25A25"			
Immune response	Signaling > Immune response	"ACOD1, C1QBP, IFI27, MAVS, NLRX1"			
cAMP-PKA signaling	Signaling > cAMP-PKA signaling	"ADCY10, AKAP1, AKAP10, PDE2A, PRKACA, SPHKAP"			
Mitochondrial dynamics and surveillance	Mitochondrial dynamics and surveillance	"AHCYL1, AIFM1, AIFM2, AIFM3, APOO, APOOL, ARL2, ARMC10, ARMCX1, ARMCX3, ATAD3A, ATAD3B, ATP5MD, ATP5ME, ATP5MG, BAD, BAK1, BAX, BBC3, BCL2, BCL2A1, BCL2L1, BCL2L10, BCL2L11, BCL2L13, BCL2L2, BID, BIK, BNIP3, BNIP3L, BOK, CASP3, CASP8, CASP9, CHCHD2, CHCHD3, CHCHD6, CYCS, DIABLO, DNAJC11, DNM1L, ENDOG, FIS1, FKBP8, FUNDC1, FUNDC2, GHITM, HTRA2, IFI27, IMMT, MARCHF5, MCL1, MFF, MFN1, MFN2, MGARP, MICOS10, MICOS13, MIEF1, MIEF2, MIGA1, MIGA2, MTCH2, MTFP1, MTFR1, MTFR2, MTX1, MTX2, MTX3, MUL1, MYO19, NBR1, NIPSNAP1, NIPSNAP2, OMA1, OPA1, PARK7, PARL, PGAM5, PIGBOS1, PINK1, PLD6, PMAIP1, PRKN, RAB24, RHOT1, RHOT2, RMDN3, RTL10, SAMM50, SEPTIN4, SLC25A46, SNAP29, SPHK2, SPIRE1, STX17, STYXL1, SYNJ2BP, TMEM11, TOMM20, TOMM7, USP30, VDAC1, VPS13D"			
Fusion	Mitochondrial dynamics and surveillance > Fusion	"ARL2, MFN1, MFN2, MIGA1, MIGA2, MTCH2, OMA1, OPA1, PLD6"			
Fission	Mitochondrial dynamics and surveillance > Fission	"ARMC10, DNM1L, FIS1, MFF, MIEF1, MIEF2, MTFP1, MTFR1, MTFR2, MUL1, OMA1, RAB24, SLC25A46, SPIRE1, STX17"			
Organelle contact sites	Mitochondrial dynamics and surveillance > Organelle contact sites	"AHCYL1, ATAD3A, ATAD3B, FKBP8, FUNDC2, MFN1, MFN2, MIGA2, PIGBOS1, RMDN3, SPIRE1, STX17, SYNJ2BP, VDAC1"			
Intramitochondrial membrane interactions	Mitochondrial dynamics and surveillance > Intramitochondrial membrane interactions	"ATAD3A, ATAD3B, CHCHD3, DNAJC11, MTX1, MTX2, MTX3, SAMM50, SLC25A46"			
Trafficking	Mitochondrial dynamics and surveillance > Trafficking	"ARMC10, ARMCX1, ARMCX3, MGARP, MYO19, RHOT1, RHOT2"			
Mitophagy	Mitochondrial dynamics and surveillance > Mitophagy	"BCL2L13, FKBP8, FUNDC1, MARCHF5, NIPSNAP1, NIPSNAP2, PARK7, PARL, PGAM5, PINK1, PRKN, TOMM7, USP30, VPS13D"			
Autophagy	Mitochondrial dynamics and surveillance > Autophagy	"BCL2L13, FKBP8, FUNDC1, MARCHF5, NBR1, NIPSNAP1, NIPSNAP2, PARK7, PARL, PGAM5, PINK1, PRKN, RAB24, SNAP29, STX17, TOMM7, USP30, VPS13D"			
Apoptosis	Mitochondrial dynamics and surveillance > Apoptosis	"AIFM1, AIFM2, AIFM3, BAD, BAK1, BAX, BBC3, BCL2, BCL2A1, BCL2L1, BCL2L10, BCL2L11, BCL2L13, BCL2L2, BID, BIK, BNIP3, BNIP3L, BOK, CASP3, CASP8, CASP9, CHCHD2, CYCS, DIABLO, ENDOG, GHITM, HTRA2, IFI27, MCL1, PMAIP1, RTL10, SEPTIN4, SPHK2, STYXL1"			
Cristae formation	Mitochondrial dynamics and surveillance > Cristae formation	"APOO, APOOL, ATP5MD, ATP5ME, ATP5MG, CHCHD3, CHCHD6, IMMT, MICOS10, MICOS13, OPA1"			
MICOS complex	Mitochondrial dynamics and surveillance > Cristae formation > MICOS complex	"APOO, APOOL, CHCHD3, CHCHD6, IMMT, MICOS10, MICOS13"			
